Toetuse saaja nimi;Toetuse saaja registrikood;Meetme nimetus;Teenuse nimetus;Laenusumma;Lepingu sõlmimise kuupäev;Laenu tähtaeg
Suur Aasta OÜ;12502057;Erakorraline laen;Erakorraline investeerimislaen;133000;27.07.2020;30.06.2025
Sockmann Group OÜ;11717422;Erakorraline laen;Erakorraline käibekapitalilaen;235100;28.07.2020;30.06.2026
MANN GRUPP OÜ;10797040;Erakorraline laen;Erakorraline käibekapitalilaen;40000;06.08.2020;31.08.2021
Hansolo OÜ;12437662;Erakorraline laen;Erakorraline investeerimislaen;50000;06.08.2020;30.06.2025
Geniteh OÜ ;10303612;Erakorraline laen;Erakorraline investeerimislaen;85000;07.08.2020;31.07.2025
EESTI KESKKONNATEENUSED AS;10277820;Erakorraline laen;Erakorraline investeerimislaen;5000000;07.08.2020;31.07.2026
New Service OÜ ;12035707;Erakorraline laen;Erakorraline käibekapitalilaen;9000;13.08.2020;31.08.2022
Bisly OÜ;12198160;Erakorraline laen;Erakorraline käibekapitalilaen;250000;14.08.2020;31.07.2022
Allprint HM OÜ ;12305503;Erakorraline laen;Erakorraline käibekapitalilaen;20000;21.08.2020;31.07.2022
LIDO Eesti OÜ ;12549100;Erakorraline laen;Erakorraline käibekapitalilaen;300000;26.08.2020;31.05.2024
ODIL Eesti OÜ ;11692359;Erakorraline laen;Erakorraline käibekapitalilaen;400000;26.08.2020;31.05.2024
Fiesta Reisid OÜ;10876526;Erakorraline laen;Erakorraline käibekapitalilaen;50000;30.08.2020;31.08.2022
Saare Hotell OÜ;12972464;Erakorraline laen;Erakorraline investeerimislaen;75000;30.08.2020;31.07.2025
Allprint HM OÜ ;12305503;Erakorraline laen;Erakorraline investeerimislaen;45000;02.09.2020;31.07.2026
Porto Franco OÜ ;12799764;Erakorraline laen;Erakorraline laen riiklikele projektidele;39400000;08.09.2020;08.09.2026
Magnetic MRO AS;10865988;Erakorraline laen;Erakorraline laen riiklikele projektidele;10000000;11.09.2020;10.09.2026
Paneelivabrik OÜ ;14072078;Erakorraline laen;Erakorraline investeerimislaen;150000;13.09.2020;31.08.2026
RA SUN OÜ ;11973272;Erakorraline laen;Erakorraline käibekapitalilaen;20000;14.09.2020;31.08.2022
Venditehnik OÜ ;11237981;Erakorraline laen;Erakorraline käibekapitalilaen;80000;14.09.2020;31.08.2022
Loodusravi Kliinik OÜ ;11412763;Erakorraline laen;Erakorraline investeerimislaen;78812;18.09.2020;30.09.2026
FTC Airy OÜ;11747512;Erakorraline laen;Erakorraline käibekapitalilaen;2600;28.09.2020;21.07.2022
Estlive Travel OÜ ;11917291;Erakorraline laen;Erakorraline käibekapitalilaen;9000;01.10.2020;30.09.2022
Globalex Pharma OÜ ;11505401;Erakorraline laen;Erakorraline investeerimislaen;90000;02.10.2020;30.09.2023
ID Production OÜ ;11546535;Erakorraline laen;Erakorraline käibekapitalilaen;105000;07.10.2020;30.09.2022
Skycorp OÜ ;14211211;Erakorraline laen;Erakorraline käibekapitalilaen;25000;13.10.2020;30.09.2022
POMO EESTI OÜ ;12884464;Erakorraline laen;Erakorraline käibekapitalilaen;20000;14.10.2020;31.10.2022
CoModule OÜ ;12699057;Erakorraline laen;Erakorraline käibekapitalilaen;500000;14.10.2020;30.09.2022
POMO EESTI OÜ ;12884464;Erakorraline laen;Erakorraline investeerimislaen;41000;14.10.2020;31.10.2025
Fehu OÜ ;14120720;Erakorraline laen;Erakorraline käibekapitalilaen;75000;16.10.2020;30.09.2022
Karl Sandberg OÜ;11426937;Erakorraline laen;Erakorraline käibekapitalilaen;50000;20.10.2020;30.09.2022
Baltic Laundry Service OÜ;11113500;Erakorraline laen;Erakorraline investeerimislaen;45000;26.10.2020;30.09.2023
Rosemarie OÜ;10306906;Erakorraline laen;Erakorraline käibekapitalilaen;60000;27.10.2020;30.09.2022
Selfdiagnostics OÜ;11488192;Erakorraline laen;Erakorraline käibekapitalilaen;341244;18.11.2020;31.10.2022
Tommi Grill OÜ;11882753;Erakorraline laen;Erakorraline käibekapitalilaen;15000;20.11.2020;31.10.2022
I-Sepp OÜ ;12590745;Erakorraline laen;Erakorraline investeerimislaen;100000;20.11.2020;31.10.2023
Bikeep OÜ;12351012;Erakorraline laen;Erakorraline käibekapitalilaen;294129;25.11.2020;31.10.2022
Pet Retail OÜ ;12841510;Erakorraline laen;Erakorraline käibekapitalilaen;75000;02.12.2020;30.11.2023
Erimasinad OÜ ;12708715;Erakorraline laen;Erakorraline käibekapitalilaen;100000;03.12.2020;30.11.2022
Baltic Shuttle OÜ;12019051;Erakorraline laen;Erakorraline käibekapitalilaen;100000;07.12.2020;30.11.2025
Eesti Näituste Aktsiaselts;10017313;Erakorraline laen;Erakorraline käibekapitalilaen;460000;07.12.2020;30.11.2024
Taevaprojekt OÜ ;12892765;Erakorraline laen;Erakorraline käibekapitalilaen;56000;09.12.2020;30.11.2025
Taevaprojekt OÜ ;12892765;Erakorraline laen;Erakorraline investeerimislaen;20300;09.12.2020;30.11.2026
Vudila Mängumaa OÜ ;11901143;Erakorraline laen;Erakorraline investeerimislaen;81000;11.12.2020;30.11.2025
Industrial Metal OÜ ;12784567;Erakorraline laen;Erakorraline käibekapitalilaen;180000;23.12.2020;30.11.2025
Tallinn Seaport Hotel OÜ ;12669607;Erakorraline laen;Erakorraline käibekapitalilaen;500000;23.12.2020;30.11.2026
Primatek Coatings OÜ;12391997;Erakorraline laen;Erakorraline investeerimislaen;1033500;23.12.2020;30.11.2026
Tervise Paradiis OÜ ;10559955;Erakorraline laen;Erakorraline investeerimislaen;2000000;28.12.2020;30.11.2026
Aigren OÜ;10853367;Erakorraline laen;Erakorraline investeerimislaen;1500000;28.12.2020;30.11.2026
Nordic Aviation Group AS;12927848;Erakorraline laen;Erakorraline laen riiklikele projektidele;8000000;28.12.2020;28.12.2026
TEZ Tour OÜ ;11468166;Erakorraline laen;Erakorraline käibekapitalilaen;450000;29.12.2020;30.11.2022
L Tehnoülevaatus OÜ ;11960507;Erakorraline laen;Erakorraline investeerimislaen;87000;29.12.2020;30.11.2026
Just Print OÜ ;12822150;Erakorraline laen;Erakorraline käibekapitalilaen;100000;30.12.2020;31.05.2025
Sockmann Group OÜ;11717422;Erakorraline laen;Erakorraline investeerimislaen;199300;30.12.2020;30.09.2026
OÜ GoHotels;11082171;Erakorraline laen;Erakorraline käibekapitalilaen;500000;31.12.2020;30.11.2025
Heavy Industry Estonia OÜ ;12869341;Erakorraline laen;Erakorraline käibekapitalilaen;500000;31.12.2020;30.11.2025
Fiizy OÜ ;12694462;Erakorraline laen;Erakorraline investeerimislaen;1500000;31.12.2020;30.11.2026
Alexela Varahalduse AS;10423960;Erakorraline laen;Erakorraline laen riiklikele projektidele;51000000;16.01.2021;19.10.2025
Terasman OÜ;10750914;Erakorraline laen;Erakorraline käibekapitalilaen;250000;18.01.2021;31.12.2026
ABCD Partners OÜ ;12399289;Erakorraline laen;Erakorraline investeerimislaen;180000;21.01.2021;31.12.2026
